,State,State ABBR,Prescribing Rate,Year
0,Alabama,AL,115.6,2006
1,Alaska,AK,63.4,2006
2,Arizona,AZ,74.3,2006
3,Arkansas,AR,98.3,2006
4,California,CA,51.0,2006
5,Colorado,CO,62.2,2006
6,Connecticut,CT,64.7,2006
7,Delaware,DE,86.6,2006
8,District of Columbia,DC,31.7,2006
9,Florida,FL,79.7,2006
10,Georgia,GA,79.8,2006
11,Hawaii,HI,42.3,2006
12,Idaho,ID,75.6,2006
13,Illinois,IL,55.6,2006
14,Indiana,IN,94.3,2006
15,Iowa,IA,59.3,2006
16,Kansas,KS,77.5,2006
17,Kentucky,KY,122.6,2006
18,Louisiana,LA,109.2,2006
19,Maine,ME,83.6,2006
20,Maryland,MD,60.1,2006
21,Massachusetts,MA,66.0,2006
22,Michigan,MI,80.2,2006
23,Minnesota,MN,50.3,2006
24,Mississippi,MS,102.7,2006
25,Missouri,MO,80.5,2006
26,Montana,MT,79.1,2006
27,Nebraska,NE,64.3,2006
28,Nevada,NV,87.7,2006
29,New Hampshire,NH,75.0,2006
30,New Jersey,NJ,54.7,2006
31,New Mexico,NM,61.8,2006
32,New York,NY,44.2,2006
33,North Carolina,NC,85.2,2006
34,North Dakota,ND,56.0,2006
35,Ohio,OH,87.7,2006
36,Oklahoma,OK,108.7,2006
37,Oregon,OR,91.0,2006
38,Pennsylvania,PA,69.5,2006
39,Rhode Island,RI,78.7,2006
40,South Carolina,SC,90.4,2006
41,South Dakota,SD,50.0,2006
42,Tennessee,TN,124.8,2006
43,Texas,TX,66.8,2006
44,Utah,UT,87.0,2006
45,Vermont,VT,56.9,2006
46,Virginia,VA,67.2,2006
47,Washington,WA,80.8,2006
48,West Virginia,WV,129.9,2006
49,Wisconsin,WI,64.7,2006
50,Wyoming,WY,79.9,2006
51,Alabama,AL,120.3,2007
52,Alaska,AK,66.6,2007
53,Arizona,AZ,77.8,2007
54,Arkansas,AR,108.2,2007
55,California,CA,53.6,2007
56,Colorado,CO,65.9,2007
57,Connecticut,CT,67.5,2007
58,Delaware,DE,92.3,2007
59,District of Columbia,DC,41.2,2007
60,Florida,FL,82.2,2007
61,Georgia,GA,82.5,2007
62,Hawaii,HI,44.5,2007
63,Idaho,ID,78.8,2007
64,Illinois,IL,59.2,2007
65,Indiana,IN,99.7,2007
66,Iowa,IA,57.1,2007
67,Kansas,KS,80.6,2007
68,Kentucky,KY,130.8,2007
69,Louisiana,LA,110.1,2007
70,Maine,ME,85.4,2007
71,Maryland,MD,63.3,2007
72,Massachusetts,MA,68.2,2007
73,Michigan,MI,85.6,2007
74,Minnesota,MN,53.7,2007
75,Mississippi,MS,109.9,2007
